filename,type,layout,sys,nProcs,nMaster,nCompute,nIO,fileCount,transport,ioGroupSize,bufferSize,dataSize,blocking,compression,ost,appWallT,sumProcWallT,
 /home/tcpan/PhD/path/Data/adios/jaguar-hpdc2012-weak1/TCGA.baseline.jaguar.p10240.f71680,TCGA,baseline,jaguar,10240,1,10239,all,71680,opencv,all,1,4096,b,n,n,2664621.377,7719288031.313,
 /home/tcpan/PhD/path/Data/adios/jaguar-hpdc2012-weak1/TCGA.baseline.jaguar.p2560.f17920,TCGA,baseline,jaguar,2560,1,2559,all,17920,opencv,all,1,4096,b,n,n,120713.119,254583708.605,
 /home/tcpan/PhD/path/Data/adios/jaguar-hpdc2012-weak1/TCGA.baseline.jaguar.p5120.f35840,TCGA,baseline,jaguar,5120,1,5119,all,35840,opencv,all,1,4096,b,n,n,316178.416,900216878.019,
 /home/tcpan/PhD/path/Data/adios/jaguar-hpdc2012-weak1/TCGA.separate.jaguar.p10240.f71680.na-POSIX.b4.io300-1.is1,TCGA,separate,jaguar,10240,1,9939,300,71680,na-POSIX,1,4,4096,b,n,n,1220386.29,12492878716.97,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.baseline.jaguar.p10240.f100000,TCGA,baseline,jaguar,10240,1,10239,all,100000,opencv,all,1,4096,b,n,n,271173.828,747183429.495,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.baseline.jaguar.p5120.f100000,TCGA,baseline,jaguar,5120,1,5119,all,100000,opencv,all,1,4096,b,n,n,104523.004,426270363.111,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.co-loc.jaguar.p10240.f100000.MPI_AMR.is1-1-MPI_AMR,TCGA,coloc,jaguar,10240,1,10239,all,100000,MPI_AMR,1,1,4096,b,n,n,8260373.244,61961935987.289,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.separate.jaguar.p10240.f100000.MPI_AMR.b4.io2560-16.is16-1,TCGA,separate,jaguar,10240,1,7679,2560,100000,MPI_AMR,16,4,4096,b,n,n,2905351.454,29745147745.807,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.separate.jaguar.p10240.f100000.MPI_AMR.b4.io2560-16.is2560-1,TCGA,separate,jaguar,10240,1,7679,2560,100000,MPI_AMR,all,4,4096,b,n,n,1692113.802,17321966722.047,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.separate.jaguar.p10240.f100000.MPI_AMR.b4.io5120-16.is16-1,TCGA,separate,jaguar,10240,1,5119,5120,100000,MPI_AMR,16,4,4096,b,n,n,2397034.382,24541498632.462,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.separate.jaguar.p10240.f100000.MPI_AMR.b4.io5120-16.is5120-1,TCGA,separate,jaguar,10240,1,5119,5120,100000,MPI_AMR,all,4,4096,b,n,n,1902281.52,19475987822.065,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.separate.jaguar.p10240.f100000.MPI_AMR.b4.io7680-16.is16-1,TCGA,separate,jaguar,10240,1,2559,7680,100000,MPI_AMR,16,4,4096,b,n,n,1891100.468,19360088703.555,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong1/TCGA.separate.jaguar.p10240.f100000.MPI_AMR.b4.io7680-16.is7680-1,TCGA,separate,jaguar,10240,1,2559,7680,100000,MPI_AMR,all,4,4096,b,n,n,1538987.971,15754105110.873,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong2/TCGA.baseline.jaguar.p10240.f100000,TCGA,baseline,jaguar,10240,1,10239,all,100000,opencv,all,1,4096,b,n,n,89778.96,489791578.025,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong2/TCGA.baseline.jaguar.p2560.f100000,TCGA,baseline,jaguar,2560,1,2559,all,100000,opencv,all,1,4096,b,n,n,134713.453,305227038.969,
 /home/tcpan/PhD/path/Data/adios/jaguar-tcga-strong2/TCGA.baseline.jaguar.p5120.f100000,TCGA,baseline,jaguar,5120,1,5119,all,100000,opencv,all,1,4096,b,n,n,94795.208,390215338.084,
