MPIIprobe,blocking,bufferSize,compression,dataSize,fileCount,filename,ioGroupSize,layout,nCompute,nMaster,nProcs,nRead,nWrite,ost,sys,transport,type
0,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io120-1.is15,15,sep-W,599,1,720,599,120,0,kids,POSIX,TCGA-GBM
0,0,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io120-1.is15.nb,15,sep-W,599,1,720,599,120,0,kids,POSIX,TCGA-GBM
0,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io360-1.is15,15,sep-W,359,1,720,359,360,0,kids,POSIX,TCGA-GBM
0,0,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io360-1.is15.nb,15,sep-W,359,1,720,359,360,0,kids,POSIX,TCGA-GBM
0,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io60-1.is15,15,sep-W,659,1,720,659,60,0,kids,POSIX,TCGA-GBM
0,0,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io60-1.is15.nb,15,sep-W,659,1,720,659,60,0,kids,POSIX,TCGA-GBM
0,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io600-1.is15,15,sep-W,119,1,720,119,600,0,kids,POSIX,TCGA-GBM
0,0,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io600-1.is15.nb,15,sep-W,119,1,720,119,600,0,kids,POSIX,TCGA-GBM
0,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b2/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io120-1.is15,15,sep-W,599,1,720,599,120,0,kids,POSIX,TCGA-GBM
0,0,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b2/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io120-1.is15.nb,15,sep-W,599,1,720,599,120,0,kids,POSIX,TCGA-GBM
0,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b2/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io360-1.is15,15,sep-W,359,1,720,359,360,0,kids,POSIX,TCGA-GBM
0,0,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/keeneland-nb-vs-b2/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io360-1.is15.nb,15,sep-W,359,1,720,359,360,0,kids,POSIX,TCGA-GBM
